season,date,hour,price
winter,2024-02-10,17,88.4
winter,2024-02-10,18,85.27
winter,2024-02-10,19,69.06
winter,2024-02-10,20,65.28
winter,2024-02-10,21,64.18
winter,2024-02-10,22,63.38
winter,2024-02-10,23,61.93
winter,2024-02-25,0,56.57
winter,2024-02-25,1,55.44
winter,2024-02-25,2,55.38
winter,2024-02-25,3,54.89
winter,2024-02-25,4,55.19
winter,2024-02-25,5,55.07
winter,2024-02-25,6,56.71
winter,2024-02-25,7,59.92
winter,2024-02-25,8,61.58
winter,2024-02-25,9,61.82
winter,2024-02-25,10,56.31
winter,2024-02-25,11,54.12
winter,2024-02-25,12,50.0
winter,2024-02-25,13,46.03
winter,2024-02-25,14,49.84
winter,2024-02-25,15,55.0
winter,2024-02-25,16,67.8
winter,2024-02-25,17,82.19
winter,2024-02-25,18,93.69
winter,2024-02-25,19,79.18
winter,2024-02-25,20,69.99
winter,2024-02-25,21,65.92
winter,2024-02-25,22,65.23
winter,2024-02-25,23,58.38
winter,2024-12-29,0,127.39
winter,2024-12-29,1,114.09
winter,2024-12-29,2,107.71
winter,2024-12-29,3,101.7
winter,2024-12-29,4,97.73
winter,2024-12-29,5,98.6
winter,2024-12-29,6,67.1
winter,2024-12-29,7,57.56
winter,2024-12-29,8,53.7
winter,2024-12-29,9,40.86
winter,2024-12-29,10,25.52
winter,2024-12-29,11,24.03
winter,2024-12-29,12,29.22
winter,2024-12-29,13,28.36
winter,2024-12-29,14,24.72
winter,2024-12-29,15,24.65
winter,2024-12-29,16,27.53
winter,2024-12-29,17,28.11
winter,2024-12-29,18,24.98
winter,2024-12-29,19,24.22
winter,2024-12-29,20,22.74
winter,2024-12-29,21,13.8
winter,2024-12-29,22,13.75
winter,2024-12-29,23,13.71
